name,club,league,country,age,position,secondary_position,market_value_million,overall_rating,potential,preferred_foot,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physical,play_style,work_rate,weak_foot,skill_moves
M. Hermoso,Atletico Madrid,La Liga,Spain,29,CB,,59.7,91,95,Right,196,94,81,47,75,56,93,92,Ball Playing Defender,High/High,2,2
S. Savic,Atletico Madrid,La Liga,Spain,33,CB,RB,26.5,80,81,Right,192,96,75,38,61,67,80,80,Ball Winner,High/Medium,5,1
S. Lino,Atletico Madrid,La Liga,Spain,24,LWB,,53.7,85,91,Right,173,74,86,66,76,78,74,78,Press Resistant,Medium/High,3,4
K. Koke,Atletico Madrid,La Liga,Spain,32,CM,CDM,56.0,90,94,Left,175,80,82,61,90,75,60,79,Press Resistant,Medium/Medium,4,3
R. De Paul,Atletico Madrid,La Liga,Spain,30,CM,CDM,42.0,85,88,Right,176,77,68,69,90,88,58,81,Deep Playmaker,High/Low,5,2
M. Llorente,Atletico Madrid,La Liga,Spain,29,RM,,49.7,87,91,Right,166,71,91,71,87,89,50,71,Inverted Winger,High/Medium,4,5
A. Griezmann,Atletico Madrid,La Liga,Spain,33,ST,,49.5,88,91,Left,184,89,84,94,79,77,49,85,Target Man,High/Low,3,1
A. Morata,Atletico Madrid,La Liga,Spain,31,ST,CF,52.0,89,92,Left,191,93,87,91,78,83,35,87,Target Man,Medium/High,4,2
A. Correa,Atletico Madrid,La Liga,Spain,29,CF,,40.7,84,87,Right,180,75,90,90,77,88,29,80,Poacher,Medium/Medium,2,3
M. Depay,Atletico Madrid,La Liga,Spain,30,ST,LW,34.0,83,84,Right,177,74,77,87,67,87,38,80,Poacher,Medium/Medium,3,1
T. Lemar,Atletico Madrid,La Liga,Spain,28,LM,,59.4,91,94,Left,166,67,85,85,85,95,48,73,Creative Playmaker,High/High,4,4
A. Witsel,Atletico Madrid,La Liga,Spain,35,CB,,47.5,86,91,Left,192,88,75,43,66,52,87,89,Ball Playing Defender,High/Medium,5,4
C. Azpilicueta,Atletico Madrid,La Liga,Spain,34,CB,RB,37.5,85,85,Left,189,90,77,52,66,62,90,82,Ball Winner,High/Low,4,5
R. Riquelme,Atletico Madrid,La Liga,Spain,24,LM,,42.7,80,87,Right,168,73,90,85,78,83,51,68,Traditional Winger,High/High,4,5
S. Niguez,Atletico Madrid,La Liga,Spain,29,CM,CAM,59.7,91,95,Right,179,82,71,69,95,84,61,71,Ball Winner,Medium/High,2,5
P. Barrios,Atletico Madrid,La Liga,Spain,21,CM,CDM,67.3,89,95,Right,187,89,85,70,93,77,60,86,Ball Winner,Medium/Medium,3,1
H. Moldovan,Atletico Madrid,La Liga,Spain,26,GK,,47.3,84,89,Right,188,91,37,26,84,31,25,73,Sweeper Keeper,Low/Medium,4,1
Ederson,Man City,Premier League,England,30,GK,,29.0,81,82,Right,193,93,31,29,74,50,19,69,Sweeper Keeper,Medium/Medium,2,1
K. Walker,Man City,Premier League,England,34,RB,LWB,32.5,83,83,Right,183,87,83,51,75,77,73,66,Press Resistant,Low/Medium,2,4
R. Dias,Man City,Premier League,England,27,CB,,49.1,87,89,Right,187,87,75,33,59,63,90,93,Ball Playing Defender,Medium/High,3,1
J. Stones,Man City,Premier League,England,30,CB,RB,44.5,86,89,Right,186,82,62,54,65,57,88,83,Ball Winner,Low/Medium,3,4
N. Ake,Man City,Premier League,England,29,CB,RB,44.7,85,89,Right,195,94,67,30,57,68,86,82,Ball Winner,High/High,2,5
J. Gvardiol,Man City,Premier League,England,22,LB,RWB,60.6,85,94,Right,185,84,88,51,73,80,79,71,Press Resistant,High/High,2,3
Rodri,Man City,Premier League,England,28,CDM,,59.4,91,94,Left,181,85,69,73,91,87,65,81,Box to Box,Medium/Medium,4,4
M. Kovacic,Man City,Premier League,England,30,CM,CAM,35.0,81,86,Left,184,87,76,72,85,82,64,70,Press Resistant,High/Medium,5,3
K. De Bruyne,Man City,Premier League,England,33,CAM,,50.0,87,92,Left,177,80,93,88,90,92,32,56,Traditional Winger,Medium/High,4,5
B. Silva,Man City,Premier League,England,29,CM,CDM,58.2,91,94,Right,173,74,71,80,93,75,71,71,Box to Box,Low/Medium,3,1
P. Foden,Man City,Premier League,England,24,RW,ST,60.7,86,95,Left,182,78,84,88,82,91,46,59,Traditional Winger,High/High,2,1
J. Grealish,Man City,Premier League,England,28,LW,RM,35.9,81,85,Right,173,76,83,77,86,87,55,60,Creative Playmaker,High/Low,2,1
J. Doku,Man City,Premier League,England,22,LW,ST,66.1,89,95,Right,176,79,90,71,78,92,43,57,Creative Playmaker,High/Medium,2,5
E. Haaland,Man City,Premier League,England,24,ST,RW,60.7,86,95,Left,178,75,93,92,74,87,45,78,Poacher,High/Medium,5,5
J. Alvarez,Man City,Premier League,England,24,CF,,57.2,87,92,Left,185,89,89,92,68,86,45,89,Poacher,High/Medium,4,3
S. Ortega,Man City,Premier League,England,31,GK,,43.5,85,89,Left,191,90,38,21,64,39,24,70,Sweeper Keeper,High/Medium,4,1
M. Akanji,Man City,Premier League,England,29,CB,CDM,39.2,84,86,Right,184,82,69,40,58,52,86,81,Ball Winner,High/Low,2,2
R. Lewis,Man City,Premier League,England,19,RB,RWB,70.7,90,95,Left,184,80,95,63,72,78,80,71,Traditional Winger,High/Low,2,3
O. Bobb,Man City,Premier League,England,21,RW,RM,66.3,88,95,Left,179,84,85,78,87,92,60,73,Creative Playmaker,High/High,5,1
M. Nunes,Man City,Premier League,England,25,CM,CDM,52.5,85,91,Right,190,85,79,70,88,82,70,73,Ball Winner,High/Low,4,5
D. Raya,Arsenal,Premier League,England,28,GK,,42.4,86,86,Right,192,95,40,30,71,30,28,81,Sweeper Keeper,Medium/Medium,4,1
B. White,Arsenal,Premier League,England,26,RB,RWB,35.8,80,84,Right,176,73,81,62,79,84,74,69,Traditional Winger,High/Low,3,4
W. Saliba,Arsenal,Premier League,England,23,CB,CDM,60.4,86,94,Right,194,95,76,42,64,63,86,91,Ball Playing Defender,Low/Medium,3,2
Gabriel,Arsenal,Premier League,England,26,CB,RB,38.8,80,86,Right,183,87,72,31,58,63,82,80,Ball Playing Defender,High/Low,3,3
O. Zinchenko,Arsenal,Premier League,England,27,LB,LWB,61.1,90,95,Right,183,80,82,67,81,77,83,68,Press Resistant,Medium/Medium,2,1
D. Rice,Arsenal,Premier League,England,25,CDM,,63.5,90,95,Right,173,78,66,82,94,76,66,86,Deep Playmaker,Medium/High,3,3
T. Partey,Arsenal,Premier League,England,31,CDM,,32.0,81,84,Right,175,70,76,80,85,83,69,87,Deep Playmaker,High/Low,3,2
M. Odegaard,Arsenal,Premier League,England,25,CAM,,63.5,90,95,Right,182,82,92,70,88,95,35,56,Traditional Winger,High/Low,2,1
B. Saka,Arsenal,Premier League,England,23,RW,RM,43.9,80,87,Left,173,78,90,88,80,85,39,72,Traditional Winger,High/Medium,4,3
G. Martinelli,Arsenal,Premier League,England,23,LW,CAM,53.4,85,90,Left,177,77,90,87,75,89,53,64,Traditional Winger,High/Low,5,2
L. Trossard,Arsenal,Premier League,England,29,LW,CAM,45.2,87,88,Left,171,72,93,83,87,92,33,62,Creative Playmaker,High/Low,5,2
K. Havertz,Arsenal,Premier League,England,25,CF,,55.5,85,93,Right,192,90,78,88,80,84,34,81,Target Man,High/Low,5,3
G. Jesus,Arsenal,Premier League,England,27,ST,LW,57.6,91,92,Left,177,80,89,95,77,86,40,81,Poacher,High/Medium,5,4
A. Ramsdale,Arsenal,Premier League,England,26,GK,,61.3,89,95,Right,194,99,57,17,85,45,26,78,Sweeper Keeper,Medium/Medium,2,1
T. Tomiyasu,Arsenal,Premier League,England,25,RB,RWB,44.5,83,87,Left,171,76,94,67,72,84,75,74,Traditional Winger,High/Medium,2,2
J. Kiwior,Arsenal,Premier League,England,24,CB,RB,45.2,81,88,Right,189,87,81,45,68,64,86,84,Ball Winner,High/High,3,2
Jorginho,Arsenal,Premier League,England,32,CM,CAM,56.0,90,94,Left,183,86,79,62,94,81,62,73,Deep Playmaker,Low/Medium,5,2
E. Smith Rowe,Arsenal,Premier League,England,24,CAM,,58.2,88,92,Right,171,75,95,74,89,92,60,59,Creative Playmaker,Medium/High,2,4
R. Nelson,Arsenal,Premier League,England,24,RW,ST,50.7,85,89,Right,181,83,89,72,90,89,44,75,Creative Playmaker,Medium/High,2,3
E. Nketiah,Arsenal,Premier League,England,25,ST,CF,46.0,83,88,Right,182,84,88,89,71,76,42,70,Poacher,Medium/High,3,5
Alisson,Liverpool,Premier League,England,31,GK,,46.5,88,89,Right,195,90,51,21,69,45,18,72,Sweeper Keeper,Medium/High,4,1
T. Alexander-Arnold,Liverpool,Premier League,England,25,RB,CB,62.5,89,95,Right,176,74,90,50,77,72,74,73,Traditional Winger,High/Low,5,3
V. van Dijk,Liverpool,Premier League,England,33,CB,,46.0,86,90,Right,193,88,72,30,68,54,86,86,Ball Playing Defender,High/Low,2,3
I. Konate,Liverpool,Premier League,England,25,CB,,54.0,85,92,Right,194,98,63,50,65,56,85,84,Ball Winner,Medium/High,4,2
A. Robertson,Liverpool,Premier League,England,30,LB,LWB,37.5,85,85,Left,171,71,94,55,80,82,85,71,Traditional Winger,Medium/Medium,3,1
A. Mac Allister,Liverpool,Premier League,England,25,CM,CAM,56.5,86,93,Left,173,71,66,71,91,77,63,83,Press Resistant,High/Low,4,3
D. Szoboszlai,Liverpool,Premier League,England,23,CM,CAM,59.9,87,93,Right,185,87,70,75,88,84,68,75,Box to Box,Medium/Medium,3,2
W. Endo,Liverpool,Premier League,England,31,CDM,,36.5,84,85,Right,172,77,79,72,88,81,74,88,Ball Winner,High/High,3,5
M. Salah,Liverpool,Premier League,England,32,RW,ST,30.0,82,82,Right,182,81,88,87,75,84,32,54,Inverted Winger,Medium/Medium,5,4
L. Diaz,Liverpool,Premier League,England,27,LW,LM,50.1,85,91,Right,171,75,87,72,87,91,59,51,Traditional Winger,Medium/Medium,2,2
D. Nunez,Liverpool,Premier League,England,25,ST,CF,63.5,90,95,Right,179,84,87,95,76,76,28,85,Target Man,Low/Medium,4,4
D. Jota,Liverpool,Premier League,England,27,CF,,40.1,84,85,Right,190,87,91,90,66,75,32,77,Poacher,Medium/Medium,3,2
C. Gakpo,Liverpool,Premier League,England,25,LW,RM,43.0,80,88,Right,175,76,84,73,76,85,52,68,Creative Playmaker,High/Low,4,2
C. Kelleher,Liverpool,Premier League,England,25,GK,,57.0,88,92,Right,199,101,57,19,76,48,27,65,Sweeper Keeper,Medium/Medium,5,1
J. Gomez,Liverpool,Premier League,England,27,CB,RB,59.1,91,93,Right,188,84,78,33,68,65,92,89,Ball Winner,High/Medium,3,1
J. Quansah,Liverpool,Premier League,England,21,CB,CDM,68.3,90,95,Right,186,89,77,43,55,66,94,90,Ball Winner,High/High,2,1
C. Bradley,Liverpool,Premier League,England,21,RB,RWB,65.3,87,95,Right,181,83,95,64,78,81,74,72,Traditional Winger,Medium/High,4,3
H. Elliott,Liverpool,Premier League,England,21,CAM,,64.3,86,95,Right,166,66,94,72,87,89,59,65,Inverted Winger,Medium/Medium,2,1
C. Jones,Liverpool,Premier League,England,23,CM,CAM,66.9,91,95,Right,174,78,78,66,93,86,68,87,Box to Box,High/High,2,1
R. Gravenberch,Liverpool,Premier League,England,22,CM,CAM,51.1,83,89,Right,173,68,75,73,85,77,55,85,Ball Winner,Medium/High,2,2
R. Sanchez,Chelsea,Premier League,England,26,GK,,56.8,89,92,Right,188,84,37,17,68,40,29,67,Sweeper Keeper,Medium/Medium,5,1
R. James,Chelsea,Premier League,England,24,RB,RWB,65.7,91,95,Right,178,80,84,61,77,81,76,77,Traditional Winger,Medium/High,4,4
T. Silva,Chelsea,Premier League,England,39,CB,CDM,58.5,91,95,Right,195,99,66,37,66,60,91,92,Ball Winner,Medium/High,4,5
L. Colwill,Chelsea,Premier League,England,21,CB,,68.3,90,95,Right,189,85,77,42,60,64,91,94,Ball Playing Defender,Medium/High,4,1
B. Chilwell,Chelsea,Premier League,England,27,LB,RWB,61.1,90,95,Left,174,69,92,55,81,84,83,69,Press Resistant,High/Medium,3,2
M. Caicedo,Chelsea,Premier League,England,22,CDM,,56.1,82,93,Right,179,82,79,77,87,87,84,77,Press Resistant,Low/Medium,5,1
E. Fernandez,Chelsea,Premier League,England,23,CM,CDM,64.9,89,95,Left,187,89,78,71,90,87,64,73,Ball Winner,High/Low,2,2
C. Gallagher,Chelsea,Premier League,England,24,CM,CDM,61.7,87,95,Right,176,75,71,63,91,86,63,73,Deep Playmaker,Medium/Medium,2,5
C. Palmer,Chelsea,Premier League,England,22,CAM,,57.1,83,93,Right,183,86,87,78,83,85,46,60,Traditional Winger,High/High,5,5
R. Sterling,Chelsea,Premier League,England,29,LW,ST,27.7,80,81,Right,183,84,90,81,87,83,32,66,Creative Playmaker,Medium/High,5,1
N. Jackson,Chelsea,Premier League,England,23,ST,CF,55.9,86,91,Right,187,83,92,90,82,84,32,71,Target Man,High/Medium,2,3
D. Petrovic,Chelsea,Premier League,England,24,GK,,42.2,81,86,Right,185,85,50,30,77,38,25,77,Sweeper Keeper,Medium/High,2,1
M. Gusto,Chelsea,Premier League,England,21,RB,,52.3,80,91,Left,181,81,80,58,80,80,70,81,Press Resistant,Medium/High,3,1
B. Badiashile,Chelsea,Premier League,England,23,CB,RB,47.4,82,88,Left,188,90,67,35,71,58,87,84,Ball Winner,Medium/High,2,1
A. Disasi,Chelsea,Premier League,England,26,CB,,63.3,91,95,Right,189,87,67,30,71,50,93,92,Ball Playing Defender,High/High,3,2
M. Cucurella,Chelsea,Premier League,England,25,LB,LWB,58.0,86,94,Right,174,79,94,57,72,76,77,74,Press Resistant,High/Medium,5,1
R. Lavia,Chelsea,Premier League,England,20,CDM,,68.5,89,95,Right,189,85,72,67,94,83,77,83,Press Resistant,Medium/Medium,3,1
M. Mudryk,Chelsea,Premier League,England,23,LW,CAM,66.9,91,95,Right,178,77,92,71,89,93,36,66,Creative Playmaker,Medium/Medium,4,3
N. Madueke,Chelsea,Premier League,England,22,RW,CAM,61.1,84,95,Right,180,76,94,77,79,89,54,64,Inverted Winger,High/Low,2,4
C. Nkunku,Chelsea,Premier League,England,26,CF,,42.3,82,87,Right,191,90,77,86,66,90,31,90,Target Man,High/High,4,1
A. Onana,Man Utd,Premier League,England,28,GK,,59.9,90,95,Right,194,97,48,25,74,34,27,83,Sweeper Keeper,High/Medium,4,1
D. Dalot,Man Utd,Premier League,England,25,RB,RWB,45.5,81,89,Right,175,80,90,50,85,83,77,68,Press Resistant,High/High,3,1
R. Varane,Man Utd,Premier League,England,31,CB,RB,50.5,89,91,Right,192,94,62,48,73,63,89,89,Ball Playing Defender,High/Medium,5,4
L. Martinez,Man Utd,Premier League,England,26,CB,,42.3,82,87,Left,189,89,69,42,56,58,86,88,Ball Playing Defender,Medium/High,5,2
L. Shaw,Man Utd,Premier League,England,28,LB,,37.9,83,85,Right,177,80,84,70,78,82,77,82,Traditional Winger,Medium/High,3,1
Casemiro,Man Utd,Premier League,England,32,CDM,,57.0,91,94,Right,185,83,72,64,95,83,85,75,Press Resistant,High/Low,5,1
K. Mainoo,Man Utd,Premier League,England,19,CM,CDM,71.7,91,95,Right,173,71,73,69,94,80,69,74,Deep Playmaker,Low/Medium,3,3
B. Fernandes,Man Utd,Premier League,England,29,CAM,,53.2,89,92,Left,182,79,84,86,89,95,53,67,Inverted Winger,High/Medium,3,3
A. Garnacho,Man Utd,Premier League,England,19,RW,LM,63.7,83,95,Right,181,76,85,73,79,87,31,61,Creative Playmaker,Low/Medium,3,3
M. Rashford,Man Utd,Premier League,England,26,LW,RM,60.8,90,94,Right,183,78,88,75,85,92,31,52,Creative Playmaker,Low/Medium,4,4
R. Hojlund,Man Utd,Premier League,England,21,ST,LW,68.3,90,95,Right,175,70,75,94,75,87,25,86,Poacher,High/Medium,3,3
A. Bayindir,Man Utd,Premier League,England,26,GK,,37.3,80,85,Right,192,92,52,22,75,40,26,63,Sweeper Keeper,High/Low,5,1
A. Wan-Bissaka,Man Utd,Premier League,England,26,RB,LWB,52.8,85,92,Right,170,73,83,61,80,80,73,80,Traditional Winger,Medium/Medium,3,3
H. Maguire,Man Utd,Premier League,England,31,CB,,38.5,83,87,Right,190,85,62,34,68,64,87,86,Ball Winner,High/Medium,3,4
V. Lindelof,Man Utd,Premier League,England,29,CB,,51.2,87,92,Right,187,86,60,52,70,54,88,93,Ball Playing Defender,Medium/High,2,1
T. Malacia,Man Utd,Premier League,England,24,LB,,53.2,86,90,Right,170,73,93,50,72,75,75,69,Traditional Winger,Medium/Medium,2,1
S. McTominay,Man Utd,Premier League,England,27,CM,CAM,60.6,91,94,Right,185,87,79,77,94,77,75,88,Press Resistant,High/Medium,2,4
M. Mount,Man Utd,Premier League,England,25,CAM,,50.5,86,89,Right,166,69,93,70,75,91,40,65,Inverted Winger,Low/Medium,3,5
Antony,Man Utd,Premier League,England,24,RW,ST,51.2,84,90,Left,168,64,84,71,86,86,44,53,Inverted Winger,Medium/Medium,2,4
A. Diallo,Man Utd,Premier League,England,21,RW,RM,62.3,84,95,Right,184,88,87,71,85,87,52,58,Inverted Winger,High/High,3,2
G. Vicario,Tottenham,Premier League,England,27,GK,,35.6,81,84,Right,192,89,50,15,82,48,17,75,Sweeper Keeper,High/Medium,5,1
P. Porro,Tottenham,Premier League,England,24,RB,CB,63.7,89,95,Left,179,77,95,67,84,73,70,68,Press Resistant,High/High,2,2
C. Romero,Tottenham,Premier League,England,26,CB,,50.3,87,89,Left,187,90,66,38,74,52,89,93,Ball Playing Defender,High/High,2,2
M. van de Ven,Tottenham,Premier League,England,23,CB,CDM,45.4,80,88,Right,186,82,64,33,59,69,80,78,Ball Playing Defender,Medium/High,2,5
D. Udogie,Tottenham,Premier League,England,21,LB,CB,66.3,88,95,Right,184,88,88,66,79,79,71,69,Traditional Winger,Medium/High,2,1
Y. Bissouma,Tottenham,Premier League,England,27,CDM,,51.6,88,90,Right,179,75,83,62,90,79,66,77,Ball Winner,Medium/High,3,1
P. Sarr,Tottenham,Premier League,England,21,CM,CDM,53.8,80,92,Left,188,92,82,65,83,86,56,80,Box to Box,Medium/High,5,2
J. Maddison,Tottenham,Premier League,England,27,CAM,,39.1,83,85,Left,173,78,88,73,76,87,36,61,Inverted Winger,High/Medium,4,2
D. Kulusevski,Tottenham,Premier League,England,24,RW,CAM,56.2,86,92,Left,180,79,90,78,83,88,48,75,Creative Playmaker,Medium/High,4,2
H. Son,Tottenham,Premier League,England,31,LW,ST,26.5,80,81,Left,175,70,91,85,80,86,47,57,Creative Playmaker,High/Medium,4,4
Richarlison,Tottenham,Premier League,England,27,ST,CF,46.6,86,88,Right,175,71,88,89,77,87,41,78,Poacher,High/High,2,2
F. Forster,Tottenham,Premier League,England,36,GK,,57.5,90,95,Right,187,91,35,15,81,41,28,65,Sweeper Keeper,High/High,4,1
Emerson,Tottenham,Premier League,England,25,RB,LWB,48.0,82,90,Left,180,76,86,58,82,84,84,77,Press Resistant,High/High,3,3
R. Dragusin,Tottenham,Premier League,England,22,CB,RB,63.1,86,95,Right,189,88,71,31,60,55,88,86,Ball Winner,High/Medium,5,4
B. Davies,Tottenham,Premier League,England,31,LB,RWB,56.0,90,94,Right,182,83,93,58,79,76,84,77,Press Resistant,Medium/Medium,4,2
R. Bentancur,Tottenham,Premier League,England,27,CM,CDM,49.6,86,90,Right,175,72,74,64,90,78,55,85,Ball Winner,High/Low,3,1
P. Hojbjerg,Tottenham,Premier League,England,28,CDM,,46.4,87,88,Right,178,80,68,69,90,81,74,77,Press Resistant,High/High,2,4
G. Lo Celso,Tottenham,Premier League,England,28,CAM,,56.4,91,92,Left,180,81,96,79,80,95,41,56,Traditional Winger,High/Low,2,3
B. Johnson,Tottenham,Premier League,England,23,RW,ST,66.9,91,95,Right,175,80,82,82,76,95,58,57,Traditional Winger,Medium/Medium,2,1
T. Werner,Tottenham,Premier League,England,28,LW,CAM,48.9,88,89,Right,170,72,84,80,88,90,46,61,Traditional Winger,High/Medium,5,4
M. Neuer,Bayern,Bundesliga,Germany,38,GK,,34.5,82,85,Right,187,88,46,28,75,33,27,84,Sweeper Keeper,High/High,5,1
J. Kimmich,Bayern,Bundesliga,Germany,29,RB,LWB,38.7,82,87,Right,182,86,89,68,77,84,76,68,Press Resistant,High/High,2,5
D. Upamecano,Bayern,Bundesliga,Germany,25,CB,,53.5,86,91,Right,193,88,76,52,63,50,90,86,Ball Winner,Medium/Medium,3,1
M. Kim,Bayern,Bundesliga,Germany,27,CB,,37.6,80,86,Right,194,97,67,32,67,57,82,82,Ball Playing Defender,High/Medium,5,3
M. De Ligt,Bayern,Bundesliga,Germany,24,CB,RB,51.7,83,91,Left,185,90,80,45,63,54,86,83,Ball Playing Defender,Medium/Medium,4,4
A. Davies,Bayern,Bundesliga,Germany,23,LB,RWB,61.9,86,95,Right,182,77,80,50,80,78,80,72,Traditional Winger,Medium/Medium,5,1
L. Goretzka,Bayern,Bundesliga,Germany,29,CM,CAM,33.7,80,85,Right,176,74,84,65,83,79,75,81,Press Resistant,Low/Medium,3,4
